solute_smiles,solvent_smiles,temperature_C,predicted_logS,predicted_logS_stdev
AntraceAmidieneSO2N_ox,CC#N,250.0,-4.4,0.2
AntraceAmidieneSO2N_ox,CC#N,261.1,-4.3,0.2
AntraceAmidieneSO2N_ox,CC#N,272.2,-4.1,0.2
AntraceAmidieneSO2N_ox,CC#N,283.3,-3.9,0.2
AntraceAmidieneSO2N_ox,CC#N,294.4,-3.7,0.2
AntraceAmidieneSO2N_ox,CC#N,305.6,-3.5,0.2
AntraceAmidieneSO2N_ox,CC#N,316.7,-3.3,0.1
AntraceAmidieneSO2N_ox,CC#N,327.8,-3.2,0.1
AntraceAmidieneSO2N_ox,CC#N,338.9,-3.0,0.1
AntraceAmidieneSO2N_ox,CC#N,350.0,-2.8,0.1
AntraceAmidieneSO2N_ox,O,250.0,-4.6,0.3
AntraceAmidieneSO2N_ox,O,261.1,-4.5,0.3
AntraceAmidieneSO2N_ox,O,272.2,-4.3,0.3
AntraceAmidieneSO2N_ox,O,283.3,-4.1,0.2
AntraceAmidieneSO2N_ox,O,294.4,-3.9,0.2
AntraceAmidieneSO2N_ox,O,305.6,-3.8,0.2
AntraceAmidieneSO2N_ox,O,316.7,-3.6,0.2
AntraceAmidieneSO2N_ox,O,327.8,-3.4,0.2
AntraceAmidieneSO2N_ox,O,338.9,-3.2,0.2
AntraceAmidieneSO2N_ox,O,350.0,-3.1,0.2
AntraceAmidieneSO2N_red,O,250.0,-4.0,0.4
AntraceAmidieneSO2N_red,O,261.1,-3.9,0.3
AntraceAmidieneSO2N_red,O,272.2,-3.7,0.3
AntraceAmidieneSO2N_red,O,283.3,-3.5,0.3
AntraceAmidieneSO2N_red,O,294.4,-3.3,0.3
AntraceAmidieneSO2N_red,O,305.6,-3.2,0.3
AntraceAmidieneSO2N_red,O,316.7,-3.0,0.3
AntraceAmidieneSO2N_red,O,327.8,-2.9,0.3
AntraceAmidieneSO2N_red,O,338.9,-2.7,0.3
AntraceAmidieneSO2N_red,O,350.0,-2.6,0.3
AntraceAmidiene_ox,O,250.0,-3.7,0.2
AntraceAmidiene_ox,O,261.1,-3.6,0.2
AntraceAmidiene_ox,O,272.2,-3.4,0.2
AntraceAmidiene_ox,O,283.3,-3.2,0.2
AntraceAmidiene_ox,O,294.4,-3.1,0.2
AntraceAmidiene_ox,O,305.6,-2.9,0.2
AntraceAmidiene_ox,O,316.7,-2.8,0.2
AntraceAmidiene_ox,O,327.8,-2.6,0.2
AntraceAmidiene_ox,O,338.9,-2.5,0.2
AntraceAmidiene_ox,O,350.0,-2.3,0.1
AntraceAmidiene_red,O,250.0,-3.8,0.2
AntraceAmidiene_red,O,261.1,-3.7,0.2
AntraceAmidiene_red,O,272.2,-3.5,0.2
AntraceAmidiene_red,O,283.3,-3.3,0.2
AntraceAmidiene_red,O,294.4,-3.2,0.2
AntraceAmidiene_red,O,305.6,-3.0,0.2
AntraceAmidiene_red,O,316.7,-2.9,0.2
AntraceAmidiene_red,O,327.8,-2.7,0.2
AntraceAmidiene_red,O,338.9,-2.6,0.2
AntraceAmidiene_red,O,350.0,-2.4,0.2
Antracediene_ox,O,250.0,-3.6,0.2
Antracediene_ox,O,261.1,-3.5,0.2
Antracediene_ox,O,272.2,-3.4,0.2
Antracediene_ox,O,283.3,-3.2,0.2
Antracediene_ox,O,294.4,-3.0,0.2
Antracediene_ox,O,305.6,-2.9,0.2
Antracediene_ox,O,316.7,-2.7,0.2
Antracediene_ox,O,327.8,-2.6,0.2
Antracediene_ox,O,338.9,-2.4,0.2
Antracediene_ox,O,350.0,-2.3,0.2
Antracediene_red,O,250.0,-4.1,0.2
Antracediene_red,O,261.1,-4.0,0.2
Antracediene_red,O,272.2,-3.9,0.2
Antracediene_red,O,283.3,-3.7,0.2
Antracediene_red,O,294.4,-3.5,0.2
Antracediene_red,O,305.6,-3.4,0.2
Antracediene_red,O,316.7,-3.2,0.2
Antracediene_red,O,327.8,-3.1,0.2
Antracediene_red,O,338.9,-2.9,0.2
Antracediene_red,O,350.0,-2.8,0.2
Antracene_ox,O,250.0,-3.5,0.2
Antracene_ox,O,261.1,-3.4,0.2
Antracene_ox,O,272.2,-3.2,0.2
Antracene_ox,O,283.3,-3.1,0.2
Antracene_ox,O,294.4,-2.9,0.2
Antracene_ox,O,305.6,-2.7,0.2
Antracene_ox,O,316.7,-2.6,0.2
Antracene_ox,O,327.8,-2.4,0.2
Antracene_ox,O,338.9,-2.3,0.2
Antracene_ox,O,350.0,-2.1,0.3
Antracene_red,O,250.0,-3.4,0.2
Antracene_red,O,261.1,-3.3,0.2
Antracene_red,O,272.2,-3.2,0.2
Antracene_red,O,283.3,-3.0,0.1
Antracene_red,O,294.4,-2.8,0.1
Antracene_red,O,305.6,-2.7,0.1
Antracene_red,O,316.7,-2.5,0.1
Antracene_red,O,327.8,-2.3,0.1
Antracene_red,O,338.9,-2.2,0.1
Antracene_red,O,350.0,-2.1,0.1
Naphthalenediimide_ox,O,250.0,-3.7,0.5
Naphthalenediimide_ox,O,261.1,-3.6,0.5
Naphthalenediimide_ox,O,272.2,-3.4,0.4
Naphthalenediimide_ox,O,283.3,-3.2,0.4
Naphthalenediimide_ox,O,294.4,-3.0,0.4
Naphthalenediimide_ox,O,305.6,-2.8,0.4
Naphthalenediimide_ox,O,316.7,-2.7,0.4
Naphthalenediimide_ox,O,327.8,-2.5,0.4
Naphthalenediimide_ox,O,338.9,-2.3,0.4
Naphthalenediimide_ox,O,350.0,-2.2,0.4
Naphthalenediimide_red,O,250.0,-3.3,0.3
Naphthalenediimide_red,O,261.1,-3.2,0.3
Naphthalenediimide_red,O,272.2,-3.0,0.3
Naphthalenediimide_red,O,283.3,-2.9,0.3
Naphthalenediimide_red,O,294.4,-2.7,0.3
Naphthalenediimide_red,O,305.6,-2.5,0.3
Naphthalenediimide_red,O,316.7,-2.4,0.3
Naphthalenediimide_red,O,327.8,-2.2,0.3
Naphthalenediimide_red,O,338.9,-2.1,0.3
Naphthalenediimide_red,O,350.0,-1.9,0.2
anthacere_SOSO3_ox,O,250.0,-4.9,0.7
anthacere_SOSO3_ox,O,261.1,-4.8,0.7
anthacere_SOSO3_ox,O,272.2,-4.6,0.7
anthacere_SOSO3_ox,O,283.3,-4.4,0.7
anthacere_SOSO3_ox,O,294.4,-4.2,0.7
anthacere_SOSO3_ox,O,305.6,-4.1,0.7
anthacere_SOSO3_ox,O,316.7,-3.9,0.7
anthacere_SOSO3_ox,O,327.8,-3.7,0.7
anthacere_SOSO3_ox,O,338.9,-3.6,0.7
anthacere_SOSO3_ox,O,350.0,-3.4,0.7
anthacere_SOSO3_red,O,250.0,-5.1,0.6
anthacere_SOSO3_red,O,261.1,-5.0,0.6
anthacere_SOSO3_red,O,272.2,-4.8,0.6
anthacere_SOSO3_red,O,283.3,-4.6,0.6
anthacere_SOSO3_red,O,294.4,-4.4,0.6
anthacere_SOSO3_red,O,305.6,-4.3,0.6
anthacere_SOSO3_red,O,316.7,-4.1,0.6
anthacere_SOSO3_red,O,327.8,-3.9,0.6
anthacere_SOSO3_red,O,338.9,-3.8,0.6
anthacere_SOSO3_red,O,350.0,-3.6,0.6
